foodset, ingredient0, ingredient1, ingredient2, ingredient3, ingredient4, ingredient5, ingredient6, ingredient7, ingredient8, ingredient9, ingredient10, ingredient11, ingredient12, ingredient13, ingredient14, ingredient15, ingredient16, ingredient17, ingredient18, ingredient19, ingredient20, ingredient21, ingredient22, ingredient23, ingredient24, ingredient25, ingredient26, ingredient27, ingredient28, ingredient29, ingredient30, ingredient31, ingredient32, ingredient33, ingredient34, ingredient35, ingredient36, ingredient37, ingredient38, ingredient39, ingredient40, ingredient41, ingredient42, ingredient43, ingredient44, ingredient45, ingredient46, ingredient47, ingredient48, ingredient49, ingredient50, ingredient51, ingredient52, ingredient53, ingredient54, ingredient55, ingredient56, ingredient57, ingredient58, ingredient59, ingredient60, ingredient61, ingredient62, ingredient63, ingredient64, ingredient65, ingredient66, ingredient67, ingredient68, ingredient69, ingredient70, ingredient71, ingredient72, ingredient73, ingredient74, ingredient75, ingredient76, ingredient77, ingredient78, ingredient79, ingredient80, ingredient81, ingredient82, ingredient83, ingredient84, ingredient85, ingredient86, ingredient87, ingredient88, ingredient89, ingredient90, ingredient91, ingredient92, ingredient93, ingredient94, ingredient95, ingredient96, ingredient97, ingredient98, ingredient99, B
food30, 8, 5, 3, 8, 2, 6, 8, 3, 3, 8, 1, 4, 7, 1, 10, 9, 10, 7, 5, 1, 3, 10, 1, 4, 3, 3, 5, 8, 8, 5, 6, 4, 2, 4, 4, 5, 4, 6, 3, 2, 7, 10, 9, 9, 5, 2, 5, 6, 8, 4, 1, 3, 8, 8, 8, 1, 3, 1, 1, 9, 7, 5, 6, 1, 2, 6, 8, 4, 3, 8, 10, 2, 2, 5, 1, 4, 4, 2, 6, 9, 4, 1, 6, 2, 1, 3, 6, 2, 1, 5, 1, 7, 5, 9, 10, 6, 7, 3, 3, 3, 40731
food31, 8, 5, 8, 9, 7, 1, 1, 3, 2, 4, 10, 3, 5, 2, 6, 5, 1, 7, 7, 9, 2, 4, 4, 2, 1, 6, 9, 10, 4, 9, 10, 9, 5, 4, 10, 10, 7, 10, 8, 8, 3, 6, 3, 4, 3, 9, 4, 4, 9, 6, 8, 9, 9, 2, 4, 6, 2, 3, 1, 9, 7, 6, 6, 4, 10, 6, 4, 6, 5, 9, 6, 1, 4, 6, 1, 9, 5, 4, 6, 9, 2, 3, 7, 1, 3, 3, 2, 7, 6, 1, 2, 8, 8, 4, 9, 4, 6, 2, 4, 3, 28011
food32, 10, 5, 3, 4, 1, 2, 5, 9, 7, 7, 2, 4, 9, 8, 10, 5, 5, 4, 6, 5, 5, 3, 8, 8, 6, 7, 7, 10, 1, 8, 1, 10, 9, 7, 8, 4, 3, 1, 2, 6, 4, 6, 7, 6, 5, 7, 9, 2, 6, 9, 6, 4, 4, 3, 9, 8, 7, 10, 7, 5, 7, 4, 3, 2, 1, 6, 9, 8, 1, 1, 4, 8, 4, 5, 7, 3, 1, 2, 2, 7, 6, 4, 5, 10, 6, 4, 5, 4, 8, 8, 1, 10, 2, 6, 5, 1, 1, 8, 2, 3, 35293
food33, 8, 8, 4, 4, 4, 10, 2, 6, 9, 9, 9, 1, 3, 5, 5, 4, 4, 7, 8, 7, 7, 2, 5, 9, 2, 7, 6, 10, 7, 9, 8, 2, 10, 2, 7, 8, 7, 4, 8, 2, 3, 8, 10, 5, 8, 2, 9, 3, 5, 9, 9, 2, 7, 3, 1, 5, 9, 6, 10, 5, 5, 5, 10, 10, 5, 6, 4, 3, 2, 8, 5, 4, 2, 10, 1, 8, 4, 9, 5, 3, 7, 10, 9, 8, 8, 5, 9, 8, 9, 4, 3, 2, 10, 4, 8, 5, 5, 5, 4, 6, 36811
food34, 4, 3, 9, 1, 10, 1, 4, 5, 10, 5, 5, 4, 10, 9, 6, 4, 9, 2, 3, 4, 9, 10, 9, 6, 2, 1, 7, 2, 9, 2, 9, 8, 8, 3, 9, 3, 4, 7, 7, 10, 7, 6, 2, 4, 9, 1, 8, 7, 2, 7, 1, 4, 2, 1, 5, 4, 2, 6, 9, 10, 6, 5, 6, 8, 5, 5, 7, 8, 8, 6, 3, 7, 9, 9, 10, 2, 10, 9, 1, 6, 1, 3, 10, 7, 1, 3, 3, 10, 3, 7, 8, 4, 7, 1, 6, 3, 2, 8, 2, 2, 10435
food35, 4, 3, 7, 7, 9, 2, 6, 9, 7, 10, 5, 7, 7, 3, 9, 9, 2, 7, 9, 8, 9, 10, 8, 10, 1, 6, 9, 3, 7, 10, 8, 2, 8, 6, 2, 7, 5, 5, 10, 10, 7, 2, 6, 6, 7, 1, 8, 6, 1, 8, 10, 6, 7, 9, 6, 4, 8, 1, 8, 6, 3, 4, 1, 5, 10, 9, 6, 9, 1, 1, 10, 8, 8, 5, 5, 8, 6, 10, 3, 4, 3, 3, 4, 2, 10, 8, 4, 1, 5, 4, 8, 9, 1, 9, 9, 2, 3, 8, 5, 10, 42701
food36, 10, 4, 7, 3, 1, 8, 3, 1, 1, 6, 4, 6, 8, 8, 5, 5, 4, 4, 9, 7, 5, 5, 6, 10, 3, 5, 5, 3, 5, 3, 6, 4, 3, 4, 5, 1, 3, 4, 8, 3, 1, 8, 8, 7, 2, 8, 6, 7, 8, 10, 1, 9, 6, 8, 5, 3, 6, 7, 6, 9, 9, 3, 9, 6, 3, 8, 7, 8, 4, 4, 6, 7, 10, 5, 5, 6, 10, 7, 10, 3, 10, 6, 7, 2, 8, 9, 4, 8, 3, 7, 10, 2, 1, 1, 5, 6, 7, 4, 7, 5, 42736
food37, 8, 7, 4, 10, 2, 5, 8, 6, 1, 1, 6, 6, 9, 9, 7, 10, 9, 2, 6, 7, 1, 7, 1, 5, 8, 9, 7, 5, 1, 4, 5, 2, 1, 1, 5, 4, 7, 2, 1, 6, 7, 9, 7, 8, 7, 8, 9, 10, 5, 6, 2, 1, 3, 9, 7, 8, 1, 8, 8, 5, 7, 3, 3, 10, 7, 6, 7, 5, 1, 7, 10, 7, 3, 10, 2, 3, 7, 5, 8, 1, 9, 3, 5, 2, 1, 1, 4, 7, 2, 8, 10, 9, 1, 3, 10, 9, 10, 8, 5, 8, 39977
food38, 6, 4, 10, 2, 3, 10, 7, 2, 2, 5, 10, 9, 7, 10, 8, 5, 9, 3, 6, 9, 3, 6, 7, 2, 10, 4, 8, 2, 4, 3, 1, 7, 9, 10, 10, 4, 10, 2, 2, 4, 5, 9, 3, 5, 10, 2, 5, 4, 10, 5, 10, 6, 3, 2, 7, 8, 3, 6, 2, 9, 1, 8, 6, 8, 5, 3, 10, 2, 9, 5, 5, 9, 2, 3, 9, 5, 7, 8, 4, 2, 6, 9, 6, 5, 3, 7, 7, 5, 7, 2, 5, 1, 5, 7, 7, 8, 6, 9, 2, 2, 23465
food39, 2, 2, 10, 1, 8, 7, 4, 5, 5, 6, 8, 3, 7, 6, 7, 3, 10, 7, 6, 4, 3, 2, 7, 4, 5, 10, 1, 6, 7, 6, 1, 7, 6, 4, 4, 3, 7, 7, 1, 7, 3, 1, 1, 6, 3, 1, 6, 7, 2, 1, 5, 10, 5, 1, 3, 7, 7, 5, 1, 8, 3, 7, 7, 9, 6, 2, 1, 1, 3, 2, 4, 9, 5, 4, 6, 1, 9, 8, 1, 6, 4, 6, 7, 4, 1, 3, 10, 10, 4, 8, 10, 4, 10, 4, 1, 3, 6, 2, 2, 9, 38963
food40, 4, 8, 5, 7, 8, 2, 10, 5, 7, 2, 3, 9, 3, 6, 8, 8, 9, 5, 3, 1, 7, 6, 1, 6, 7, 1, 8, 3, 5, 5, 5, 1, 6, 1, 7, 7, 3, 7, 4, 2, 8, 6, 6, 6, 5, 9, 10, 10, 9, 2, 3, 8, 8, 10, 3, 2, 9, 3, 10, 8, 10, 10, 1, 1, 7, 5, 3, 6, 4, 6, 2, 10, 8, 9, 5, 10, 2, 10, 9, 8, 10, 7, 10, 6, 7, 5, 8, 5, 5, 9, 7, 6, 2, 5, 10, 9, 9, 8, 4, 5, 11105
food41, 8, 8, 6, 2, 4, 4, 8, 10, 7, 6, 4, 5, 1, 3, 5, 10, 9, 1, 5, 3, 7, 2, 6, 7, 2, 1, 6, 1, 5, 9, 8, 1, 9, 2, 8, 3, 9, 1, 2, 2, 10, 2, 1, 4, 3, 4, 3, 3, 9, 2, 9, 8, 6, 7, 3, 7, 5, 8, 5, 4, 8, 1, 6, 5, 4, 8, 4, 9, 1, 6, 7, 9, 3, 7, 9, 2, 3, 7, 7, 3, 5, 4, 1, 3, 1, 6, 2, 1, 6, 9, 1, 2, 4, 9, 3, 9, 5, 6, 8, 3, 38343
food42, 9, 10, 2, 7, 3, 3, 2, 4, 9, 6, 7, 7, 9, 10, 4, 6, 8, 7, 10, 6, 8, 8, 1, 1, 3, 6, 10, 4, 1, 4, 8, 7, 2, 6, 3, 6, 10, 6, 4, 6, 6, 4, 7, 7, 9, 6, 3, 2, 1, 3, 7, 9, 10, 7, 3, 6, 9, 9, 7, 7, 2, 7, 8, 2, 3, 6, 3, 5, 10, 3, 8, 1, 1, 5, 10, 1, 9, 2, 1, 1, 2, 8, 4, 6, 7, 10, 6, 1, 7, 7, 3, 4, 7, 8, 6, 3, 6, 7, 7, 7, 18437
food43, 9, 7, 5, 6, 6, 9, 1, 1, 5, 5, 3, 3, 9, 7, 6, 1, 10, 10, 10, 4, 9, 8, 2, 6, 2, 10, 10, 9, 6, 3, 4, 2, 1, 8, 4, 9, 9, 6, 10, 7, 10, 4, 2, 2, 10, 2, 3, 5, 7, 9, 1, 9, 10, 6, 1, 5, 7, 9, 7, 8, 4, 4, 2, 8, 4, 2, 4, 5, 3, 8, 8, 4, 4, 7, 6, 6, 4, 7, 1, 10, 6, 7, 4, 4, 3, 10, 10, 7, 4, 6, 6, 2, 5, 8, 2, 8, 10, 10, 7, 6, 27552
food44, 3, 4, 8, 1, 10, 8, 7, 10, 6, 7, 10, 10, 4, 6, 9, 2, 9, 10, 7, 2, 9, 5, 6, 4, 5, 7, 5, 2, 6, 3, 2, 8, 6, 5, 9, 4, 9, 6, 3, 4, 2, 4, 3, 1, 1, 1, 9, 6, 3, 9, 9, 8, 2, 1, 9, 7, 4, 3, 3, 3, 8, 1, 9, 5, 8, 5, 4, 5, 5, 5, 7, 1, 6, 6, 4, 8, 3, 2, 10, 1, 9, 9, 9, 1, 10, 2, 7, 8, 9, 7, 6, 10, 9, 1, 6, 5, 7, 8, 7, 5, 13360
food45, 2, 9, 9, 5, 10, 5, 7, 5, 1, 10, 3, 10, 2, 3, 5, 4, 10, 10, 8, 8, 7, 7, 8, 10, 4, 10, 5, 6, 5, 7, 10, 9, 7, 9, 3, 7, 8, 6, 9, 7, 9, 3, 5, 4, 6, 7, 7, 3, 7, 5, 10, 3, 5, 3, 10, 7, 7, 3, 3, 6, 7, 6, 3, 10, 6, 8, 5, 5, 4, 5, 10, 3, 2, 4, 4, 8, 4, 4, 1, 6, 5, 6, 2, 3, 9, 6, 7, 1, 2, 9, 10, 3, 8, 4, 9, 5, 3, 7, 8, 7, 23803
food46, 1, 3, 10, 4, 10, 10, 3, 3, 3, 10, 5, 10, 5, 9, 5, 7, 4, 5, 3, 9, 4, 4, 8, 9, 4, 8, 6, 10, 2, 5, 10, 2, 8, 7, 3, 6, 3, 3, 9, 7, 2, 6, 6, 10, 7, 3, 7, 9, 10, 1, 7, 5, 1, 7, 7, 4, 6, 5, 2, 9, 9, 5, 5, 8, 4, 3, 5, 4, 3, 6, 2, 3, 5, 10, 6, 1, 7, 9, 6, 5, 2, 10, 2, 10, 3, 4, 3, 3, 3, 10, 2, 8, 6, 1, 10, 10, 9, 10, 9, 1, 42471
food47, 9, 1, 7, 9, 5, 6, 6, 1, 9, 7, 1, 6, 5, 7, 3, 10, 4, 3, 6, 7, 4, 6, 8, 3, 9, 6, 5, 9, 10, 3, 9, 7, 9, 9, 9, 6, 10, 10, 5, 3, 10, 10, 9, 8, 9, 4, 2, 4, 1, 7, 7, 4, 5, 1, 9, 4, 8, 7, 7, 1, 6, 3, 1, 8, 4, 7, 9, 8, 10, 5, 9, 1, 9, 6, 8, 3, 5, 3, 10, 3, 1, 2, 6, 1, 2, 5, 1, 1, 6, 8, 5, 8, 8, 6, 3, 9, 4, 6, 10, 8, 19388
food48, 10, 7, 1, 10, 1, 2, 10, 2, 7, 1, 2, 5, 4, 5, 8, 10, 7, 10, 1, 8, 6, 6, 5, 10, 5, 3, 1, 10, 8, 4, 4, 8, 8, 1, 6, 4, 2, 3, 7, 5, 3, 5, 7, 1, 4, 6, 3, 8, 2, 2, 5, 10, 7, 6, 10, 9, 8, 9, 5, 1, 3, 10, 1, 6, 9, 3, 7, 3, 10, 7, 10, 9, 4, 10, 6, 8, 1, 2, 3, 1, 8, 7, 6, 7, 4, 3, 9, 6, 6, 9, 9, 1, 2, 10, 5, 6, 7, 8, 8, 2, 28938
food49, 4, 7, 4, 4, 9, 4, 6, 10, 7, 2, 2, 10, 5, 4, 10, 2, 10, 3, 7, 1, 8, 1, 10, 4, 9, 8, 4, 1, 9, 7, 9, 4, 1, 7, 9, 6, 4, 10, 9, 7, 1, 6, 7, 4, 9, 10, 7, 1, 6, 10, 10, 2, 8, 6, 5, 9, 9, 5, 2, 2, 8, 1, 3, 6, 7, 9, 9, 1, 6, 4, 5, 4, 8, 6, 7, 1, 7, 2, 1, 10, 9, 8, 10, 6, 4, 8, 2, 2, 8, 4, 2, 7, 10, 2, 5, 3, 8, 1, 9, 7, 22634
food50, 10, 8, 1, 2, 4, 2, 2, 10, 10, 10, 6, 10, 4, 6, 7, 2, 5, 4, 10, 6, 5, 6, 6, 1, 4, 8, 3, 3, 5, 4, 1, 6, 9, 1, 4, 1, 7, 6, 5, 1, 9, 9, 5, 9, 2, 8, 8, 9, 1, 10, 1, 1, 1, 3, 1, 5, 6, 5, 3, 2, 7, 9, 5, 7, 7, 7, 3, 9, 9, 6, 3, 8, 7, 10, 3, 2, 7, 1, 8, 7, 1, 1, 6, 6, 9, 5, 5, 4, 10, 7, 4, 7, 9, 5, 2, 2, 6, 6, 5, 3, 20139
food51, 3, 5, 1, 6, 8, 7, 1, 5, 5, 8, 6, 6, 10, 2, 9, 5, 5, 7, 6, 2, 1, 5, 10, 10, 6, 9, 8, 6, 5, 9, 7, 1, 3, 7, 3, 8, 4, 2, 6, 10, 6, 10, 9, 10, 8, 5, 1, 9, 5, 8, 3, 1, 9, 9, 7, 1, 3, 4, 10, 2, 4, 8, 10, 4, 4, 2, 3, 6, 7, 3, 1, 7, 2, 8, 8, 1, 6, 7, 2, 3, 3, 7, 2, 1, 6, 6, 4, 4, 2, 3, 6, 8, 3, 2, 8, 2, 3, 3, 9, 1, 10429
food52, 5, 10, 4, 2, 5, 2, 5, 4, 1, 5, 9, 8, 4, 3, 9, 3, 4, 10, 9, 6, 1, 9, 4, 6, 2, 6, 9, 4, 8, 2, 7, 1, 10, 1, 6, 4, 2, 5, 3, 1, 2, 6, 10, 1, 5, 3, 7, 1, 6, 3, 5, 3, 4, 9, 6, 1, 6, 4, 3, 10, 8, 4, 8, 5, 10, 9, 9, 9, 1, 10, 8, 4, 1, 8, 7, 2, 3, 5, 3, 9, 7, 4, 10, 9, 4, 6, 2, 1, 10, 7, 3, 6, 5, 9, 6, 4, 2, 8, 1, 9, 30170
food53, 5, 7, 10, 7, 9, 6, 3, 3, 3, 2, 8, 9, 6, 10, 10, 3, 10, 7, 10, 6, 1, 7, 3, 6, 3, 4, 2, 7, 2, 1, 3, 3, 2, 1, 4, 6, 6, 1, 1, 9, 1, 2, 7, 5, 5, 10, 1, 10, 3, 6, 2, 5, 1, 3, 2, 6, 2, 7, 4, 1, 9, 3, 6, 7, 5, 3, 5, 6, 3, 2, 2, 6, 1, 6, 2, 8, 3, 4, 8, 4, 1, 10, 9, 5, 5, 10, 6, 1, 6, 2, 3, 5, 1, 7, 1, 2, 10, 10, 4, 8, 17300
food54, 6, 7, 1, 9, 6, 8, 10, 2, 1, 3, 7, 10, 1, 10, 6, 10, 10, 2, 2, 5, 8, 6, 2, 4, 10, 9, 5, 4, 5, 5, 1, 2, 8, 5, 2, 8, 6, 1, 10, 6, 9, 2, 3, 8, 1, 10, 7, 8, 9, 9, 5, 9, 6, 2, 4, 6, 2, 5, 8, 3, 5, 7, 5, 9, 2, 5, 9, 7, 7, 7, 1, 10, 8, 10, 10, 4, 5, 2, 5, 1, 8, 7, 3, 3, 9, 7, 3, 4, 9, 10, 4, 8, 4, 8, 7, 5, 2, 4, 1, 4, 23472
food55, 1, 3, 4, 5, 4, 8, 6, 3, 1, 8, 7, 1, 9, 7, 9, 10, 5, 4, 10, 4, 4, 1, 1, 8, 1, 8, 3, 4, 8, 4, 2, 6, 10, 2, 9, 2, 9, 4, 9, 9, 9, 5, 8, 3, 2, 3, 7, 8, 1, 9, 4, 5, 2, 10, 3, 3, 2, 2, 4, 6, 2, 2, 1, 9, 2, 3, 5, 5, 6, 1, 6, 6, 4, 1, 9, 10, 1, 8, 3, 9, 1, 6, 10, 9, 10, 2, 2, 6, 4, 8, 10, 1, 8, 5, 5, 8, 3, 2, 5, 7, 33162
food56, 8, 2, 2, 3, 6, 9, 6, 9, 5, 7, 9, 6, 9, 6, 10, 8, 3, 2, 10, 8, 3, 4, 6, 3, 8, 10, 7, 6, 3, 9, 4, 6, 8, 4, 6, 10, 8, 10, 2, 1, 4, 9, 3, 9, 7, 2, 6, 7, 10, 2, 9, 10, 3, 10, 9, 9, 5, 3, 9, 7, 2, 8, 4, 2, 5, 10, 8, 6, 10, 9, 2, 6, 6, 3, 3, 7, 8, 4, 8, 10, 5, 8, 3, 5, 10, 4, 8, 5, 3, 2, 10, 7, 8, 10, 10, 5, 7, 3, 8, 8, 25503
food57, 2, 3, 10, 8, 2, 3, 7, 7, 4, 8, 5, 3, 3, 6, 7, 5, 2, 6, 4, 3, 4, 3, 10, 3, 10, 8, 10, 6, 10, 5, 3, 10, 1, 3, 6, 4, 2, 10, 1, 5, 8, 6, 10, 1, 9, 9, 3, 9, 6, 5, 5, 2, 5, 8, 6, 10, 2, 5, 10, 1, 7, 1, 8, 4, 2, 2, 9, 7, 1, 4, 2, 7, 9, 5, 2, 6, 3, 7, 1, 5, 4, 1, 7, 10, 6, 7, 4, 6, 3, 9, 6, 1, 7, 6, 7, 5, 3, 3, 6, 6, 35726
food58, 2, 4, 7, 1, 4, 1, 2, 5, 4, 8, 1, 10, 3, 6, 3, 3, 9, 5, 3, 9, 6, 9, 3, 8, 3, 3, 1, 4, 10, 2, 1, 2, 6, 5, 5, 6, 10, 10, 3, 7, 10, 1, 4, 6, 7, 9, 9, 10, 6, 7, 10, 2, 5, 3, 1, 8, 9, 8, 9, 2, 9, 4, 4, 6, 2, 8, 3, 6, 2, 6, 9, 3, 5, 1, 9, 2, 6, 4, 4, 6, 9, 6, 8, 10, 10, 3, 5, 5, 2, 7, 10, 3, 7, 9, 6, 3, 1, 2, 3, 9, 40522
food59, 10, 8, 7, 9, 9, 8, 9, 6, 5, 6, 10, 2, 1, 1, 7, 2, 9, 8, 2, 8, 2, 1, 8, 8, 10, 4, 7, 1, 4, 5, 5, 10, 7, 6, 10, 9, 1, 4, 9, 7, 5, 4, 2, 5, 4, 2, 3, 1, 8, 5, 9, 5, 10, 4, 10, 8, 2, 6, 8, 4, 3, 9, 6, 10, 8, 10, 4, 8, 6, 1, 2, 10, 9, 5, 7, 3, 2, 4, 10, 1, 8, 3, 9, 1, 10, 3, 1, 10, 5, 3, 1, 7, 7, 5, 7, 2, 4, 7, 5, 6, 21788
food60, 10, 8, 5, 5, 2, 7, 8, 6, 5, 1, 3, 4, 4, 3, 3, 4, 10, 9, 10, 4, 10, 8, 6, 6, 3, 10, 6, 9, 10, 8, 1, 5, 2, 1, 4, 9, 3, 8, 4, 3, 4, 6, 7, 1, 8, 3, 10, 7, 7, 5, 3, 8, 6, 10, 7, 1, 8, 7, 2, 6, 1, 3, 6, 8, 9, 5, 2, 10, 3, 6, 3, 10, 4, 1, 3, 3, 7, 1, 10, 3, 6, 2, 7, 6, 5, 8, 5, 10, 3, 2, 10, 8, 2, 7, 5, 4, 2, 8, 6, 6, 15485
food61, 3, 10, 1, 9, 4, 10, 10, 3, 5, 5, 3, 6, 6, 4, 7, 3, 9, 5, 2, 3, 7, 7, 10, 2, 5, 4, 5, 7, 9, 5, 4, 9, 5, 8, 5, 7, 5, 7, 7, 4, 9, 1, 7, 2, 2, 7, 10, 1, 6, 9, 2, 2, 2, 6, 9, 4, 5, 10, 1, 9, 2, 10, 4, 9, 8, 5, 8, 1, 8, 7, 4, 10, 3, 7, 10, 9, 10, 6, 2, 8, 1, 1, 8, 2, 3, 7, 10, 5, 4, 1, 3, 3, 3, 4, 4, 4, 2, 1, 3, 4, 32270
food62, 10, 10, 3, 7, 6, 7, 7, 4, 5, 9, 9, 9, 9, 4, 6, 2, 4, 8, 4, 8, 5, 1, 7, 2, 10, 5, 7, 3, 5, 4, 1, 2, 4, 6, 9, 4, 8, 5, 8, 2, 3, 4, 10, 1, 9, 3, 9, 7, 1, 8, 9, 2, 7, 6, 2, 5, 1, 6, 8, 10, 1, 6, 4, 10, 5, 9, 5, 4, 9, 9, 1, 8, 5, 4, 4, 3, 1, 9, 7, 5, 7, 10, 8, 8, 8, 10, 3, 6, 6, 7, 8, 7, 5, 6, 1, 7, 3, 6, 4, 7, 25846
food63, 9, 7, 4, 5, 10, 2, 6, 5, 5, 5, 4, 10, 7, 8, 5, 8, 7, 4, 5, 3, 2, 10, 6, 10, 7, 2, 2, 9, 4, 7, 1, 7, 10, 1, 10, 5, 7, 10, 4, 7, 2, 4, 7, 4, 1, 8, 6, 3, 8, 10, 6, 4, 4, 2, 7, 10, 6, 9, 4, 9, 8, 2, 2, 5, 4, 6, 8, 1, 2, 8, 9, 7, 6, 2, 7, 10, 10, 2, 2, 3, 10, 6, 4, 1, 5, 7, 4, 3, 9, 10, 6, 1, 1, 9, 2, 9, 6, 8, 1, 5, 40997
food64, 5, 4, 5, 3, 6, 5, 1, 3, 5, 10, 5, 7, 4, 9, 9, 10, 2, 10, 4, 3, 1, 7, 1, 9, 9, 1, 4, 2, 3, 5, 10, 6, 6, 3, 10, 9, 3, 10, 1, 1, 7, 8, 5, 3, 7, 4, 5, 4, 7, 2, 2, 5, 2, 3, 10, 3, 7, 1, 10, 9, 10, 6, 3, 1, 8, 5, 1, 10, 3, 6, 4, 6, 9, 3, 5, 7, 9, 4, 2, 8, 9, 8, 3, 6, 1, 9, 6, 4, 1, 7, 2, 10, 6, 2, 8, 5, 1, 4, 10, 1, 30488
